seed,config,metric,ens_mean,no_mean,delta
42,Baseline,average_precision,0.3206881154342151,0.24028796241855824,0.08040015301565687
43,Baseline,average_precision,0.3164331542864985,0.23445480952728068,0.08197834475921781
44,Baseline,average_precision,0.3188221754502409,0.23421234780555053,0.08460982764469036
45,Baseline,average_precision,0.32056149731982386,0.23593915498286877,0.08462234233695509
46,Baseline,average_precision,0.3102510429363113,0.23358302685540064,0.07666801608091064
47,Baseline,average_precision,0.3131151322545701,0.23188630548374314,0.08122882677082696
48,Baseline,average_precision,0.30491826518386633,0.22602136236121192,0.07889690282265441
49,Baseline,average_precision,0.31422485537010686,0.2332108124782981,0.08101404289180875
50,Baseline,average_precision,0.3095240420503657,0.2378254925601726,0.07169854949019311
51,Baseline,average_precision,0.312575109416108,0.23581843065786626,0.07675667875824174
42,Baseline,roc_auc,0.8335593412697487,0.7548009780590595,0.07875836321068919
43,Baseline,roc_auc,0.8305889753760088,0.7528174996330778,0.07777147574293108
44,Baseline,roc_auc,0.8351596888410188,0.7540909435510512,0.08106874528996755
45,Baseline,roc_auc,0.8347901473592065,0.7524549844072799,0.08233516295192667
46,Baseline,roc_auc,0.8326377194735843,0.7508594344823701,0.0817782849912142
47,Baseline,roc_auc,0.8331949602925887,0.7535919263138098,0.07960303397877888
48,Baseline,roc_auc,0.8320135886973237,0.7470075841974797,0.08500600449984397
49,Baseline,roc_auc,0.83187281155546,0.7526709299533919,0.07920188160206809
50,Baseline,roc_auc,0.8319478321774225,0.7538380181268063,0.07810981405061623
51,Baseline,roc_auc,0.8373821272652068,0.7527895555861535,0.08459257167905332
42,Tuned,average_precision,0.3799947691173853,0.3180906770332126,0.06190409208417269
43,Tuned,average_precision,0.37546777138433085,0.31086169071187736,0.06460608067245349
44,Tuned,average_precision,0.37870044125791896,0.3156568895311142,0.06304355172680476
45,Tuned,average_precision,0.37675860126365684,0.31350731035071294,0.0632512909129439
46,Tuned,average_precision,0.3657187028285431,0.30830524464245623,0.05741345818608684
47,Tuned,average_precision,0.3643654202802485,0.3070056332545612,0.05735978702568728
48,Tuned,average_precision,0.3633861857053748,0.3012944599419596,0.062091725763415206
49,Tuned,average_precision,0.36567818153401327,0.30508277659289695,0.060595404941116315
50,Tuned,average_precision,0.36533261582850823,0.3109665957781101,0.054366020050398145
51,Tuned,average_precision,0.37640229042971834,0.32106631913326006,0.055335971296458286
42,Tuned,roc_auc,0.8582629316995031,0.8265037319988507,0.03175919970065233
43,Tuned,roc_auc,0.8551010742695503,0.8223201104816148,0.03278096378793549
44,Tuned,roc_auc,0.8586836823824261,0.8251538476933803,0.0335298346890458
45,Tuned,roc_auc,0.859260272125035,0.823926407609386,0.035333864515649016
46,Tuned,roc_auc,0.8548367155104012,0.8206431391144751,0.03419357639592613
47,Tuned,roc_auc,0.8542967968865058,0.8208005932234306,0.033496203663075264
48,Tuned,roc_auc,0.8542983868655664,0.8178536020011072,0.03644478486445912
49,Tuned,roc_auc,0.8539719305175826,0.8213459507632491,0.032625979754333456
50,Tuned,roc_auc,0.854591307190478,0.8212824228530021,0.03330888433747592
51,Tuned,roc_auc,0.8612485125712902,0.829259367591885,0.03198914497940519
