config,seed,metric,delta_ens_minus_no
Baseline,42,average_precision,0.08040015301565681
Baseline,42,roc_auc,0.0787583632106893
Baseline,42,f1,0.10082340190514372
Baseline,42,recall,-0.2048980496453901
Baseline,43,average_precision,0.08197834475921781
Baseline,43,roc_auc,0.07777147574293086
Baseline,43,f1,0.09549624789983385
Baseline,43,recall,-0.20667109929078015
Baseline,44,average_precision,0.08460982764469041
Baseline,44,roc_auc,0.08106874528996755
Baseline,44,f1,0.10317177457000615
Baseline,44,recall,-0.20356826241134757
Baseline,45,average_precision,0.08462234233695506
Baseline,45,roc_auc,0.08233516295192667
Baseline,45,f1,0.10475317126872985
Baseline,45,recall,-0.19614361702127653
Baseline,46,average_precision,0.07666801608091062
Baseline,46,roc_auc,0.0817782849912142
Baseline,46,f1,0.09660132192406534
Baseline,46,recall,-0.20257092198581556
Baseline,47,average_precision,0.08122882677082702
Baseline,47,roc_auc,0.07960303397877888
Baseline,47,f1,0.10186257426330508
Baseline,47,recall,-0.19437056737588654
Baseline,48,average_precision,0.07889690282265444
Baseline,48,roc_auc,0.08500600449984397
Baseline,48,f1,0.10067229729772376
Baseline,48,recall,-0.19725177304964542
Baseline,49,average_precision,0.08101404289180866
Baseline,49,roc_auc,0.07920188160206809
Baseline,49,f1,0.10090555431488496
Baseline,49,recall,-0.1993572695035461
Baseline,50,average_precision,0.07169854949019314
Baseline,50,roc_auc,0.07810981405061623
Baseline,50,f1,0.09403241315557043
Baseline,50,recall,-0.2162012411347518
Baseline,51,average_precision,0.07675667875824166
Baseline,51,roc_auc,0.08459257167905332
Baseline,51,f1,0.10726221985020956
Baseline,51,recall,-0.20035460992907794
