seed,config,metric,best_ensemble_model,best_no_ensemble_model,ens_value,no_value,delta
42,Baseline,average_precision,XGBoost,Logistic Regression,0.3519992503869038,0.3223726237946417,0.029626626592262062
43,Baseline,average_precision,XGBoost,Logistic Regression,0.3418969485628931,0.311223282253995,0.030673666308898118
44,Baseline,average_precision,XGBoost,Logistic Regression,0.3470063456590435,0.3097946410407968,0.03721170461824669
45,Baseline,average_precision,XGBoost,Logistic Regression,0.3511549849866148,0.3181838728411237,0.03297111214549109
46,Baseline,average_precision,XGBoost,Logistic Regression,0.3453138448540219,0.3075315268468994,0.037782318007122506
47,Baseline,average_precision,XGBoost,Logistic Regression,0.3460455980771096,0.3067305946469358,0.0393150034301738
48,Baseline,average_precision,XGBoost,Logistic Regression,0.3367733007579372,0.2915355134988509,0.04523778725908634
49,Baseline,average_precision,XGBoost,Logistic Regression,0.3419304055910102,0.3138037037190987,0.028126701871911464
50,Baseline,average_precision,XGBoost,Logistic Regression,0.3443560973007744,0.3163897943793195,0.027966302921454855
51,Baseline,average_precision,XGBoost,Logistic Regression,0.3389345424871404,0.3130993909316275,0.025835151555512914
42,Baseline,roc_auc,XGBoost,Logistic Regression,0.8503607291713112,0.8272171364707764,0.023143592700534787
43,Baseline,roc_auc,XGBoost,Logistic Regression,0.8473946238936596,0.8228311970453845,0.02456342684827506
44,Baseline,roc_auc,XGBoost,Logistic Regression,0.8509933336782994,0.8240281939784376,0.026965139699861806
45,Baseline,roc_auc,XGBoost,Logistic Regression,0.8524166156395544,0.8260764762563689,0.026340139383185468
46,Baseline,roc_auc,XGBoost,Logistic Regression,0.8472191139561032,0.8189495013361208,0.0282696126199824
47,Baseline,roc_auc,XGBoost,Logistic Regression,0.8477924604053254,0.8212631662933263,0.026529294111999113
48,Baseline,roc_auc,XGBoost,Logistic Regression,0.8477530381610175,0.8136401297815592,0.03411290837945835
49,Baseline,roc_auc,XGBoost,Logistic Regression,0.8477085015940219,0.8246905106418445,0.02301799095217738
50,Baseline,roc_auc,XGBoost,Logistic Regression,0.848132558905597,0.8251693212904281,0.02296323761516894
51,Baseline,roc_auc,XGBoost,Logistic Regression,0.8527032354250353,0.8254436659097679,0.027259569515267423
42,Tuned,average_precision,Bagging (Decision Tree),Logistic Regression,0.3838161482415593,0.3429058750238997,0.04091027321765961
43,Tuned,average_precision,Bagging (Decision Tree),Logistic Regression,0.3822707694277836,0.3326511243047497,0.049619645123033906
44,Tuned,average_precision,Bagging (Decision Tree),Logistic Regression,0.385672763279872,0.3358311153434789,0.04984164793639306
45,Tuned,average_precision,Bagging (Decision Tree),Logistic Regression,0.3774605085381151,0.3370432196674953,0.040417288870619794
46,Tuned,average_precision,Bagging (Decision Tree),Logistic Regression,0.370902116713778,0.3277914933539448,0.04311062335983318
47,Tuned,average_precision,Bagging (Decision Tree),Logistic Regression,0.3694818855650014,0.3280969659395043,0.04138491962549706
48,Tuned,average_precision,Bagging (Decision Tree),Logistic Regression,0.3696724521636649,0.3154699127352365,0.0542025394284284
49,Tuned,average_precision,Bagging (Decision Tree),Logistic Regression,0.3690592137171,0.330993879891383,0.038065333825716974
50,Tuned,average_precision,Bagging (Decision Tree),Logistic Regression,0.3703583485906057,0.3310604425798977,0.039297906010707984
51,Tuned,average_precision,Bagging (Decision Tree),Logistic Regression,0.3827650147023652,0.3367769670226977,0.045988047679667465
42,Tuned,roc_auc,Bagging (Decision Tree),Logistic Regression,0.8599364869207609,0.836571422672201,0.023365064248559886
43,Tuned,roc_auc,Bagging (Decision Tree),Logistic Regression,0.8561719852033619,0.8328828124366647,0.023289172766697175
44,Tuned,roc_auc,Bagging (Decision Tree),Logistic Regression,0.85964088144449,0.833969883099567,0.025670998344923035
45,Tuned,roc_auc,Bagging (Decision Tree),Logistic Regression,0.8588442861013547,0.8349711621869211,0.023873123914433525
46,Tuned,roc_auc,Bagging (Decision Tree),Logistic Regression,0.8558058202828907,0.830694424634581,0.025111395648309665
47,Tuned,roc_auc,Bagging (Decision Tree),Logistic Regression,0.8544793185657449,0.8320080653343798,0.022471253231365118
48,Tuned,roc_auc,Bagging (Decision Tree),Logistic Regression,0.8558053413099456,0.8253643661989314,0.03044097511101418
49,Tuned,roc_auc,Bagging (Decision Tree),Logistic Regression,0.8549927181861894,0.833698178769107,0.02129453941708237
50,Tuned,roc_auc,Bagging (Decision Tree),Logistic Regression,0.8558096441495442,0.8331972324452378,0.02261241170430639
51,Tuned,roc_auc,Bagging (Decision Tree),Logistic Regression,0.8610893272984115,0.8368086330336983,0.024280694264713132
