seed,config,metric,delta
42,Baseline,average_precision,0.08040015301565687
43,Baseline,average_precision,0.08197834475921781
44,Baseline,average_precision,0.08460982764469036
45,Baseline,average_precision,0.08462234233695509
46,Baseline,average_precision,0.07666801608091064
47,Baseline,average_precision,0.08122882677082696
48,Baseline,average_precision,0.07889690282265441
49,Baseline,average_precision,0.08101404289180875
50,Baseline,average_precision,0.07169854949019311
51,Baseline,average_precision,0.07675667875824174
42,Baseline,roc_auc,0.07875836321068919
43,Baseline,roc_auc,0.07777147574293108
44,Baseline,roc_auc,0.08106874528996755
45,Baseline,roc_auc,0.08233516295192667
46,Baseline,roc_auc,0.0817782849912142
47,Baseline,roc_auc,0.07960303397877888
48,Baseline,roc_auc,0.08500600449984397
49,Baseline,roc_auc,0.07920188160206809
50,Baseline,roc_auc,0.07810981405061623
51,Baseline,roc_auc,0.08459257167905332
42,Tuned,average_precision,0.06190409208417269
43,Tuned,average_precision,0.06460608067245349
44,Tuned,average_precision,0.06304355172680476
45,Tuned,average_precision,0.0632512909129439
46,Tuned,average_precision,0.05741345818608684
47,Tuned,average_precision,0.05735978702568728
48,Tuned,average_precision,0.062091725763415206
49,Tuned,average_precision,0.060595404941116315
50,Tuned,average_precision,0.054366020050398145
51,Tuned,average_precision,0.055335971296458286
42,Tuned,roc_auc,0.03175919970065233
43,Tuned,roc_auc,0.03278096378793549
44,Tuned,roc_auc,0.0335298346890458
45,Tuned,roc_auc,0.035333864515649016
46,Tuned,roc_auc,0.03419357639592613
47,Tuned,roc_auc,0.033496203663075264
48,Tuned,roc_auc,0.03644478486445912
49,Tuned,roc_auc,0.032625979754333456
50,Tuned,roc_auc,0.03330888433747592
51,Tuned,roc_auc,0.03198914497940519
